title,year,summary,short_summary,genres,imdb_id,youtube_trailer,rating,director,cast
adrift,2018,"Starring Shailene Woodley and Sam Claflin, Adrift is based on the inspiring true story of two free spirits whose chance encounter leads them first to love, and then to the adventure of a lifetime. As the two avid sailors set out on a journey across the ocean, Tami Oldham (Woodley) and Richard Sharp (Claflin) couldn't anticipate they would be sailing directly into one of the most catastrophic hurricanes in recorded history. In the aftermath of the storm, Tami awakens to find Richard badly injured and their boat in ruins. With no hope for rescue, Tami must find the strength and determination to save herself and the only man she has ever loved. Adrift is the unforgettable story about the resilience of the human spirit and the transcendent power of love.",true story survival young couple chance encounter lead first love adventure lifetime face one catastrophic hurricane recorded history,action adventure drama romance thriller,tt6306064,n9ukI7khQpE,6.7,Baltasar Kormákur,action adventure drama romance thriller
rbg,2018,"At the age of 84, U.S. Supreme Court Justice Ruth Bader Ginsburg has developed a breathtaking legal legacy while becoming an unexpected pop culture icon. But without a definitive Ginsburg biography, the unique personal journey of this diminutive, quiet warrior's rise to the nation's highest court has been largely unknown, even to some of her biggest fans - until now. RBG is a revelatory documentary exploring Ginsburg's exceptional life and career from Betsy West and Julie Cohen, and co-produced by Storyville Films and CNN Films.",exceptional life career supreme court justice ruth bader ginsburg developed breathtaking legal legacy becoming unexpected pop culture icon,biography documentary,tt7689964,biIRlcQqmOc,7.5,Julie Cohen,biography documentary
support the girls,2018,"Lisa is the last person you'd expect to find in a highway-side 'sports bar with curves', but as general manager at Double Whammies, she's come to love the place and its customers. An incurable den mother, she nurtures and protects her girls fiercely, but over the course of one trying day, her optimism is battered from every direction. Double Whammies sells a big, weird American fantasy, but what happens when reality pokes a bunch of holes in it?",general manager highway side sport bar curve incurable optimism faith girl customer tested course long strange day,comedy,tt6859352,gp-8oB53P7k,5.4,Andrew Bujalski,comedy
the turning,2013,"The Turning explores the impact of past on present, how the seemingly random incidents that change and shape us can never be escaped or let go of. All of the stories are bound together by recurring themes; the passing of time, regret, addiction and obsession.",collection short film based story australian writer tim winton,drama,tt2322641,D0FRa09VtHo,6.0,Jonathan auf der Heide,drama
streetdance 3d,2010,"A hard-working street dance crew, get through to the national championship, but get shaken up when their leader and main choreographer, Jay, jumps ship 5 weeks before the competition. He tells the crew, and his girlfriend, Carly, that she has become is predecessor, adding that he needs a break from everything...and everyone, including Carly. Carly struggles to fit into the leadership role, encountering problems such as finding funding for a rehearsal space and gaining the respect and trust of the crew. Whilst delivering food to a performing arts school, Carly meets Choreographer and Musical Director, Helena. Helena, is having her own issues with her students, a group of talented ballet dancers, who are technically proficient, but show no passion or fire when they dance. Helena is warned by the chairman of the school that at their current standard, they will not pass their Royal Ballet auditions, and failure to do so will result in dismissals. Recognising this, Helena, who is known for...",rder win street dance championship dance crew forced work ballet dancer royal dance school exchange rehearsal space,drama music romance,tt1447972,cQVq-FqAIX8,5.9,Max Giwa,drama music romance
do you trust this computer?,2018,"Science fiction has long anticipated the rise of machine intelligence. Today, a new generation of self-learning computers is reshaping every aspect of our lives. Incomprehensible amounts of data are being collected, interpreted, and fed back to us in a tsunami of apps, smart devices, and targeted advertisements. Virtually every industry on earth is feeling this transformation, from job automation to medical diagnostics, from elections to battlefield weapons. Do You Trust This Computer? explores the promises and perils of this developing era. Will A.I. usher in an age of unprecedented potential, or prove to be our final invention?",artificial intelligence monster shangri,documentary,tt6152554,3CJE6XheubM,7.7,Chris Paine,documentary
do you take this man,2016,Daniel and Christopher have to rely on their close friends and families to help them through drama on the eve of their wedding.,daniel christopher rely close friend family help drama eve wedding,drama,tt4723724,HfUAYMDuQ9Q,5.8,Joshua Tunick,drama
bluefin,2016,"In the stunning documentary Bluefin, director John Hopkins crafts a tale of epic stakes set in the ""tuna capital of the world."" Filmed in North Lake, Prince Edward Island, Canada, the film explores the baffling mystery of why the normally wary bluefin tuna no longer fear humans. Hopkins documents this phenomenon with breathtaking cinematography and brings the issues into sharp focus, at the heart of which lies a passionate concern for the fate of these giant fish.",endangered giant bluefin tuna returned prince edward island canada surprising abundance complete disappearance overfishing something strange going normally wary tuna longer fear human,documentary,tt6674318,Oqb4hMJDVj4,6.5,John Hopkins,documentary
superfly,2018,"When Priest, a young but experienced coke dealer in Atlanta, realizes it's time to get out of the trade, he risks it all on one last score. Double-crossing his mentor, Priest heads to Mexico to connect with the cartel that serves as the source of his product.",retirement mind successful young drug dealer set one last big job dealing trigger happy colleague police,action crime thriller,tt7690670,Y5IxGgf3d3A,5.0,Director X.,action crime thriller
sad vacation,2016,The Last Days of Sid and Nancy. A new documentary about the painful and poignant final days of the tragic couple Sid Vicious and Nancy Spungen,new documentary painful poignant final day tragic couple sid vicious nancy spungen,documentary,tt3691270,0IZUfBXM3xI,7.0,Danny Garcia,documentary
romans,2017,An adult victim of childhood sexual abuse confronts the horrors of his past.,adult victim childhood sexual abuse confronts horror past,drama,tt5200368,iZGHsa0oEJs,5.0,Ludwig Shammasian,drama
don't be bad,2015,"A story set in the 90s and in the outskirts of Rome to Ostia, the same places of the films of Pasolini. His characters, in the '90s, seem to belong to a world that revolves around hedonism. A world where money, luxury cars, night clubs, cocaine and synthetic drugs are easy to run. A world in which Vittorio and Cesare, in their early twenty, act in search of their success. Initiation for their existence has a very high cost and Vittorio, to save himself, abandons Cesare, who instead will inexorably sink. The bond that unites them is so strong that Vittorio really never shall abandon his friend, always hoping to be able to look to the future with new eyes. Together.",story set 90 outskirt rome ostia place film pasolini character 90 seem belong world revolves around hedonism,crime drama,tt1167611,8WxlD7Wm2hE,7.2,Claudio Caligari,crime drama
drew michael,2018,"Comedian Drew Michael is taking the stage and is holding nothing back in his first HBO stand-up special, in which he navigates his fears, anxieties and insecurities in an unconventional stand-up setting.",comedian drew michael taking stage holding nothing back first hbo stand special navigates fear anxiety insecurity unconventional stand setting,comedy,tt8563704,BIfDSnJtPcg,6.3,Jerrod Carmichael,comedy
